sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Total Time","Self Time","Type","Why No Vectorization","Vector ISA","Compiler Estimated Gain","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Transformations","Source Location","Module"
"74","[loop in yggdrasil_decision_forests::utils::ShardedReader<yggdrasil_decision_forests::dataset::proto::Example>::Next at sharded_io.h:194]","0.170s","0s","Scalar","","","","0","1","1","353","","sharded_io.h:194","ariel_rf_train"
"76","[loop in std::_Destroy_aux<(bool)0>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>*> at stl_construct.h:162]","0.010s","0s","Scalar","","","","5048","5048","5048","352","","stl_construct.h:162","ariel_rf_train"
"113","[loop in yggdrasil_decision_forests::dataset::VerticalDataset::ShrinkToFit at vertical_dataset.cc:1082]","0.010s","0s","Scalar","","","","2524","2524","2524","1","","vertical_dataset.cc:1082","ariel_rf_train"
"79","[loop in yggdrasil_decision_forests::utils::concurrency::ThreadPool::StartWorkers at concurrency_default.cc:45]","0s","0s","Scalar","","","","6","6","6","1","","concurrency_default.cc:45","ariel_rf_train"
"80","[loop in yggdrasil_decision_forests::model::AbstractModel::PrecomputeVariableImportances at abstract_model.cc:1021]","0.030s","0s","Scalar","","","","","","","","","abstract_model.cc:1021","ariel_rf_train"
"81","[loop in yggdrasil_decision_forests::model::decision_tree::StructureMeanMinDepth at new_allocator.h]","0.030s","0s","Scalar","","","","","","","","","new_allocator.h","ariel_rf_train"
"83","[loop in yggdrasil_decision_forests::model::decision_tree::(anonymous namespace)::AddMinimumDepthPerPath at decision_tree.cc]","0.030s","0s","Scalar","","","","","","","","","decision_tree.cc","ariel_rf_train"
"86","[loop in yggdrasil_decision_forests::utils::concurrency::ThreadPool::ThreadLoop at concurrency_default.cc:61]","21.900s","0s","Scalar","","","","1","1","1","6","","concurrency_default.cc:61","ariel_rf_train"
"103","[loop in yggdrasil_decision_forests::model::decision_tree::internal::ProjectionEvaluator::ProjectionEvaluator at oblique.cc:1091]","0.030s","0s","Scalar","","","","2523","2523","2523","18","","oblique.cc:1091","ariel_rf_train"

