tree,depth,nodes,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Bucket Allocation & Initialization=0,Filling & Finalizing the Buckets,SortFeature,ScanSplits,Post-processing after Training all Trees,EvaluateProjection,FillExampleBucketSet (next 3 calls),,  ,Parameter,Value
2,22,6,0.0,0.000496562,0.007520082,0.00811708,0.00023149,0.000648954,0.008588178,0.003610866,0.0,0.03163033,0.020166296,,,,
2,23,8,0.0,0.000543725,0.007299962,0.006475871,0.000256036,0.00062717,0.006969594,0.0021459,0.0,0.03010958,0.019273608,,,,
3,0,1,0.000690008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,1,1,0.0,0.000133249,0.00387811,0.0400638,0.000320249,0.01001528,0.497996834,0.177582793,0.0,0.698705,0.513902837,,,,
3,2,2,0.0,0.00016688,0.002088156,0.02423337,5.7782000000000003e-05,0.005345625,0.261575478,0.080563066,0.0,0.3548941,0.269883644,,,,
3,3,4,0.0,0.000322147,0.0055850430000000005,0.03527226,0.000145248,0.006326112,0.274970478,0.097043605,0.0,0.3950469,0.289575366,,,,
3,4,8,0.0,0.000661653,0.011758122,0.0587649,0.000280442,0.009917907,0.410629039,0.162516419,0.0,0.6128535900000001,0.436289544,,,,
3,5,16,0.0,0.001172994,0.017711945,0.056565732,0.00052246,0.007144068,0.253498421,0.099614968,0.0,0.41137597000000004,0.289812015,,,,
3,6,28,0.0,0.002208622,0.03589066,0.07851877,0.001035621,0.008758806,0.269228771,0.115398391,0.0,0.49189283,0.334981806,,,,
3,7,36,0.0,0.003247308,0.0487934,0.083977552,0.001399463,0.007896266,0.21245736,0.086585237,0.0,0.43243251,0.293643073,,,,
3,8,36,0.0,0.003486116,0.053799023,0.067042379,0.001565464,0.006981092,0.178164318,0.072260973,0.0,0.39670231,0.267958839,,,,
3,9,34,0.0,0.002882816,0.045251788,0.062170634,0.001394591,0.006203201,0.157400993,0.063130707,0.0,0.34339975,0.231818666,,,,
3,10,32,0.0,0.002924434,0.041854644,0.061894011,0.001241582,0.005870929,0.141907335,0.057776006,0.0,0.31230037,0.210555157,,,,
3,11,30,0.0,0.002801379,0.040326996,0.051233787,0.001357321,0.004984746,0.120006563,0.049719686,0.0,0.27600197,0.184172488,,,,
3,12,28,0.0,0.002300116,0.032969461,0.044577605,0.001021563,0.004368612,0.105690633,0.041302479,0.0,0.23463736000000002,0.158752742,,,,
3,13,22,0.0,0.001394833,0.020565197,0.03413472,0.000677015,0.003312322,0.085718951,0.034744904,0.0,0.18034961,0.121996303,,,,
3,14,26,0.0,0.001526886,0.020097933,0.034075869,0.0007309700000000001,0.003334776,0.074398386,0.030033154,0.0,0.16694265,0.111596411,,,,
3,15,16,0.0,0.0009352970000000001,0.012640681,0.026875153,0.00044610200000000003,0.002467965,0.059029388,0.02528962,0.0,0.12358111000000001,0.082245312,,,,
3,16,14,0.0,0.000809175,0.011536873,0.027996249,0.000380542,0.002175689,0.049261397,0.022732443,0.0,0.10767722,0.070499103,,,,
3,17,20,0.0,0.001157431,0.016247059,0.032284759999999996,0.000585381,0.002350293,0.043994318,0.020175701,0.0,0.11291456999999999,0.073003501,,,,
3,18,20,0.0,0.001161915,0.015805601,0.026568803000000002,0.00057984,0.002034643,0.032754274,0.015550411,0.0,0.09601182,0.06084874,,,,
3,19,24,0.0,0.001354644,0.018842173,0.024416546,0.000674724,0.001850629,0.023332266,0.011463702,0.0,0.0897064,0.055709988,,,,
3,20,22,0.0,0.00139998,0.017140297,0.019623781,0.0006294170000000001,0.001519502,0.016168497,0.00741763,0.0,0.07470231,0.046318446,,,,
3,21,14,0.0,0.000758908,0.010694835,0.010212107,0.00039069,0.000895172,0.008354851,0.004085121,0.0,0.04351351,0.026753313,,,,
3,22,4,0.0,0.000237326,0.003520376,0.005475596,0.000111267,0.000370179,0.005379413,0.002082038,0.0,0.01678229,0.010856298,,,,
3,23,4,0.0,0.000272602,0.003003667,0.002621355,0.000104164,0.000221624,0.001347038,0.000741101,0.0,0.01082512,0.006380473,,,,
3,24,4,0.0,0.000207765,0.003705139,0.002052346,0.000110188,0.000202088,0.000953605,0.000409613,0.0,0.01002449,0.006090783,,,,
4,0,1,0.000283388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,1,1,0.0,4.5555e-05,0.00133739,0.0225694,5.3936e-05,0.005399388,0.28326276,0.082545858,0.0,0.377233,0.290803972,,,,
4,2,2,0.0,0.000148954,0.002004507,0.02414714,6.0516e-05,0.005211553,0.265338002,0.078565846,0.0,0.3564434,0.273469908,,,,
4,3,4,0.0,0.000204582,0.003194998,0.026327861,0.000107941,0.005125424,0.23535295,0.075859247,0.0,0.327572,0.245634433,,,,
4,4,6,0.0,0.00032134,0.00463889,0.031165580000000002,0.000158119,0.005203291,0.224967549,0.075625155,0.0,0.32143396999999996,0.237813536,,,,
4,5,12,0.0,0.000553055,0.008753781,0.038725692,0.00031609,0.005554212,0.217989197,0.076769983,0.0,0.32870467,0.238486858,,,,
4,6,20,0.0,0.00093854,0.014009377,0.046022435,0.000526439,0.005929914,0.20741874800000001,0.074937631,0.0,0.33331898,0.237950524,,,,
4,7,26,0.0,0.001200895,0.018560543,0.049193705,0.00067831,0.005846549,0.18732668,0.071639553,0.0,0.32192835,0.224983679,,,,
4,8,32,0.0,0.001464813,0.022753204,0.053291401,0.000845477,0.005893845,0.168669814,0.067653,0.0,0.3119074,0.213729488,,,,
4,9,34,0.0,0.001547889,0.023876087,0.055914186,0.000894396,0.005661213,0.147472529,0.062429197,0.0,0.28902223,0.194519369,,,,
4,10,38,0.0,0.001798423,0.02652728,0.060317142,0.001022719,0.005429977,0.130549874,0.056769606,0.0,0.27514091,0.182490021,,,,
4,11,52,0.0,0.002426232,0.035607723,0.066826213,0.001382486,0.005846863,0.114255547,0.051957386,0.0,0.28278273,0.183634605,,,,
4,12,48,0.0,0.002378299,0.034823719,0.05929921,0.001286475,0.005076073,0.092970802,0.041899374,0.0,0.24339832,0.157129161,,,,
4,13,48,0.0,0.002368321,0.034002977,0.051381399,0.001327111,0.004302606,0.069864983,0.033049508,0.0,0.20932726,0.133000622,,,,
4,14,32,0.0,0.001705268,0.023871565,0.040603541,0.000874969,0.003102916,0.049545271,0.024708393,0.0,0.1473355,0.09271765,,,,
4,15,34,0.0,0.001844442,0.02536709,0.036506888,0.000956483,0.00288748,0.039266039,0.019417284,0.0,0.13693563,0.085227523,,,,
4,16,26,0.0,0.001374936,0.019978561,0.028278804,0.000756934,0.002137624,0.028953687,0.013767272,0.0,0.10233905,0.064083135,,,,
4,17,28,0.0,0.001375592,0.020170194,0.022521878999999998,0.000764664,0.001837022,0.020835432,0.007992567,0.0,0.08989798,0.056826475,,,,
4,18,12,0.0,0.000629011,0.008789599,0.00773922,0.000328713,0.00071195,0.005463904,0.002444526,0.0,0.034087690000000004,0.020787282,,,,
4,19,2,0.0,9.2975e-05,0.001521194,0.002159921,5.1737e-05,0.0001755,0.002671017,0.00083033,0.0,0.00782308,0.005226084,,,,
5,0,1,0.000278523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
